DRG;DESCRIPTION
564;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
565;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH COMPLICATION OR COMORBIDITY
566;OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
570;SKIN DEBRIDEMENT WITH MAJOR COMPLICATION OR COMORBIDITY
571;SKIN DEBRIDEMENT WITH COMPLICATION OR COMORBIDITY
572;SKIN DEBRIDEMENT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
573;SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MAJOR COMPLICATION OR COMORBIDITY
574;SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH COMPLICATION OR COMORBIDITY
575;SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
576;SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MAJOR COMPLICATION OR COMORBIDITY
577;SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH COMPLICATION OR COMORBIDITY
578;SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
579;OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
580;OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH COMPLICATION OR COMORBIDITY
581;OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
582;MASTECTOMY FOR MALIGNANCY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
583;MASTECTOMY FOR MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
584;BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
585;BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
592;SKIN ULCERS WITH MAJOR COMPLICATION OR COMORBIDITY
593;SKIN ULCERS WITH COMPLICATION OR COMORBIDITY
594;SKIN ULCERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
595;MAJOR SKIN DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
596;MAJOR SKIN DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
597;MALIGNANT BREAST DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
598;MALIGNANT BREAST DISORDERS WITH COMPLICATION OR COMORBIDITY
599;MALIGNANT BREAST DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
600;NON-MALIGNANT BREAST DISORDERS WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
601;NON-MALIGNANT BREAST DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
602;CELLULITIS WITH MAJOR COMPLICATION OR COMORBIDITY
603;CELLULITIS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
604;TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MAJOR COMPLICATION OR COMORBIDITY
605;TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MAJOR COMPLICATION OR COMORBIDITY
606;MINOR SKIN DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
607;MINOR SKIN DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
614;ADRENAL AND PITUITARY PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
615;ADRENAL AND PITUITARY PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
616;AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
617;AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH COMPLICATION OR COMORBIDITY
618;AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
619;O.R. PROCEDURES FOR OBESITY WITH MAJOR COMPLICATION OR COMORBIDITY
620;O.R. PROCEDURES FOR OBESITY WITH COMPLICATION OR COMORBIDITY
621;O.R. PROCEDURES FOR OBESITY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
622;SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
623;SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH COMPLICATION OR COMORBIDITY
624;SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
625;THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
626;THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
627;THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
628;OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
629;OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY
630;OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURSE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
637;DIABETES WITH MAJOR COMPLICATION OR COMORBIDITY
638;DIABETES WITH COMPLICATION OR COMORBIDITY
639;DIABETES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
640;MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM , FLUIDS AND ELECTROLYTES WITH MAJOR COMPLICATION OR COMORBIDITY
641;MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM , FLUIDS AND ELECTROLYTES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
642;INBORN AND OTHER DISORDERS OF METABOLISM
643;ENDOCRINE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
644;ENDOCRINE DISORDERS WITH COMPLICATION OR COMORBIDITY
645;ENDOCRINE DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
652;KIDNEY TRANSPLANT
653;MAJOR BLADDER PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
654;MAJOR BLADDER PROCEDURES WITH COMPLICATION OR COMORBIDITY
655;MAJOR BLADDER PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
656;KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MAJOR COMPLICATION OR COMORBIDITY
657;KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH COMPLICATION OR COMORBIDITY
658;KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
659;KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MAJOR COMPLICATION OR COMORBIDITY
660;KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH COMPLICATION OR COMORBIDITY
661;KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
662;MINOR BLADDER PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
663;MINOR BLADDER PROCEDURES WITH COMPLICATION OR COMORBIDITY
664;MINOR BLADDER PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
665;PROSTATECTOMY WITH MAJOR COMPLICATION OR COMORBIDITY
666;PROSTATECTOMY WITH COMPLICATION OR COMORBIDITY
667;PROSTATECTOMY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
668;TRANSURETHRAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
669;TRANSURETHRAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
670;TRANSURETHRAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
671;URETHRAL PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
672;URETHRAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
673;OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
674;OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH COMPLICATION OR COMORBIDITY
675;OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
682;RENAL FAILURE WITH MAJOR COMPLICATION OR COMORBIDITY
683;RENAL FAILURE WITH COMPLICATION OR COMORBIDITY
684;RENAL FAILURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
685;ADMIT FOR RENAL DIALYSIS
686;KIDNEY AND URINARY TRACT NEOPLASMS WITH MAJOR COMPLICATION OR COMORBIDITY
687;KIDNEY AND URINARY TRACT NEOPLASMS WITH COMPLICATION OR COMORBIDITY
688;KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
689;KIDNEY AND URINARY TRACT INFECTIONS WITH MAJOR COMPLICATION OR COMORBIDITY
690;KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
691;URINARY STONES WITH ESW LITHOTRIPSY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
692;URINARY STONES WITH ESW LITHOTRIPSY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
693;URINARY STONES WITHOUT ESW LITHOTRIPSY WITH MAJOR COMPLICATION OR COMORBIDITY
694;URINARY STONES WITHOUT ESW LITHOTRIPSY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
695;KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MAJOR COMPLICATION OR COMORBIDITY
696;KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
697;URETHRAL STRICTURE
698;OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
699;OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH COMPLICATION OR COMORBIDITY
700;OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
707;MAJOR MALE PELVIC PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
708;MAJOR MALE PELVIC PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
709;PENIS PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
710;PENIS PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
711;TESTES PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
712;TESTES PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
713;TRANSURETHRAL PROSTATECTOMY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
714;TRANSURETHRAL PROSTATECTOMY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
715;OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
716;OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
717;OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
718;OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXCEPT MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
722;MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
723;MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH COMPLICATION OR COMORBIDITY
724;MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
725;BENIGN PROSTATIC HYPERTROPHY WITH MAJOR COMPLICATION OR COMORBIDITY
726;BENIGN PROSTATIC HYPERTROPHY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
727;INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
728;INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MAJOR COMPLICATION OR COMORBIDITY
729;OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
730;OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
734;PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
735;PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
736;UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
737;UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH COMPLICATION OR COMORBIDITY
738;UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
739;UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
740;UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH COMPLICATION OR COMORBIDITY
741;UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
742;UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
743;UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
744;D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
745;D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
746;VAGINA, CERVIX AND VULVA PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
747;VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
748;FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
749;OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
750;OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
754;MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
755;MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH COMPLICATION OR COMORBIDITY
756;MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
757;INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
758;INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH COMPLICATION OR COMORBIDITY
759;INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
760;MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
761;MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
765;CESAREAN SECTION WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
766;CESAREAN SECTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
767;VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
768;VAGINAL DELIVERY WITH O.R. PROCEDURE EXCEPT STERILIZATION AND/OR D&C
769;POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURE
770;ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY
774;VAGINAL DELIVERY WITH COMPLICATING DIAGNOSES
775;VAGINAL DELIVERY WITHOUT COMPLICATING DIAGNOSES
776;POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURE
777;ECTOPIC PREGNANCY
778;THREATENED ABORTION
779;ABORTION WITHOUT D&C
780;FALSE LABOR
781;OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
782;OTHER ANTEPARTUM DIAGNOSES WITHOUT MEDICAL COMPLICATIONS
789;NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY
790;EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE
791;PREMATURITY WITH MAJOR PROBLEMS
792;PREMATURITY WITHOUT MAJOR PROBLEMS
793;FULL TERM NEONATE WITH MAJOR PROBLEMS
794;NEONATE WITH OTHER SIGNIFICANT PROBLEMS
795;NORMAL NEWBORN
799;SPLENECTOMY WITH MAJOR COMPLICATION OR COMORBIDITY
800;SPLENECTOMY WITH COMPLICATION OR COMORBIDITY
801;SPLENECTOMY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
802;OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MAJOR COMPLICATION OR COMORBIDITY
803;OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH COMPLICATION OR COMORBIDITY
804;OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
808;MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
809;MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH COMPLICATION OR COMORBIDITY
810;MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
811;RED BLOOD CELL DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
812;RED BLOOD CELL DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
813;COAGULATION DISORDERS
814;RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
815;RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH COMPLICATION OR COMORBIDITY
816;RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
820;LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
821;LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
822;LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
823;LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
824;LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
825;LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
826;MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
827;MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
828;MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
829;MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
830;MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
834;ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
835;ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
836;ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
837;CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MAJOR COMPLICATION OR COMORBIDITY
838;CHEMOTHERPY WITH ACUTE LEUKEMIA AS SDX WITH COMPLICATION OR COMORBIDITY OR HIGH DOSE CHEMOTHERAPY AGENT
839;CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
840;LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MAJOR COMPLICATION OR COMORBIDITY
841;LYMPHOMA AND NON-ACUTE LEUKEMIA WITH COMPLICATION OR COMORBIDITY
842;LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
843;OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
844;OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH COMPLICATION OR COMORBIDITY
845;OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
846;CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
847;CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
848;CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
849;RADIOTHERAPY
853;INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
854;INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
855;INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
856;POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
857;POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH COMPLICATION OR COMORBIDITY
858;POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
862;POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MAJOR COMPLICATION OR COMORBIDITY
863;POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
864;FEVER
865;VIRAL ILLNESS WITH MAJOR COMPLICATION OR COMORBIDITY
866;VIRAL ILLNESS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
867;OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
868;OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH COMPLICATION OR COMORBIDITY
